"","H2O_30m_A","H2O_30m_B","H2O_30m_C","PNA79_30m_A","PNA79_30m_B","PNA79_30m_C","PNAscr_30m_A","PNAscr_30m_B","PNAscr_30m_C","H2O_16h_A","H2O_16h_B","H2O_16h_C","PNA79_16h_A","PNA79_16h_B","PNA79_16h_C","PNAscr_16h_A","PNAscr_16h_B","PNAscr_16h_C"
"cds-C4N14_08080",33.3634812628376,27.1293341281091,34.2500218647422,40.019514381762,29.6239199685802,22.9303570938714,43.3699568402065,33.7144494824772,37.8138456689657,87.9371202073647,66.4383513378579,75.7437201707633,83.099243993562,71.8216921179052,82.1543456035139,68.3778753859967,59.8988076218234,44.5178983868353
"cds-C4N14_08085",263.571501976417,159.584318400642,197.671554762226,249.153750828389,156.936242690693,206.961171719044,241.363238067236,208.770244872263,236.469682774941,95.2837656930433,100.820844442664,107.037836136052,56.7222367708864,63.1045474281331,58.6816754310813,85.8212109436489,93.6964588497796,83.5984962073395
"cds-C4N14_08090",10.5651023998986,9.97401990004011,9.78572053278348,10.3276166146483,8.46397713388005,12.9350732324403,10.1825116059615,10.3736767638391,9.58660876114624,41.4083654647338,53.7711170360873,52.422627381344,29.8783798628537,27.667459232755,31.8116451021125,24.7695364918662,26.7704168142227,26.8466715462594
"cds-C4N14_08095",14.4575085472296,7.58025512403049,9.2964345061443,9.03666453781723,8.11131141996838,11.7591574840366,10.1825116059615,14.2638055502788,17.0428600198155,40.7404886023994,37.2261579480604,40.6624181969361,20.0745364703549,21.4138554335707,33.9736015653629,18.4899356911114,16.3968802987114,26.5068402608637
"cds-C4N14_08100",142.906911409154,97.3464342243915,92.964345061443,101.339738031236,106.857711315236,94.6612177464946,92.3968645726138,95.3081552677721,119.300020138709,174.761112310839,161.830381079763,170.622695963614,139.354631079091,107.258780313283,111.495183319055,125.940882726249,134.521344491469,125.737575596405
"cds-C4N14_08105",98.4222697253709,94.5537086523803,100.303635461031,101.985214069652,78.6444542023021,102.89262798532,104.842156535456,104.385122436131,127.821450148617,65.0066812672165,58.9414167510957,68.3686737330837,33.846602188389,31.2680189959218,44.1656820349717,62.0982745852419,74.2879066594681,81.2196772095697
"cds-C4N14_08110",1524.15503569063,1867.13652528751,1780.51185093995,1117.31902249726,1545.73382407484,1103.00897200263,1292.04758377867,1339.50101213073,1158.91448134746,1090.19766495054,1198.7339889247,1139.1456862524,1118.80527095827,1378.82488614744,1495.45617072261,863.445110103785,984.816708553219,1016.43537461851
"cds-C4N14_08115",1252.79872141955,1070.41181567231,1093.55426953855,923.030734934189,1052.70715602633,898.399631780396,1023.15385136939,919.367103195244,888.359078532885,1252.49174249781,1435.01668590058,1364.38359097072,875.576584887222,831.918808436949,923.464260731227,587.491541581727,602.669008530189,591.306436588499
"cds-C4N14_08120",58.3860922099658,44.2846483561781,49.9071747171957,81.9754568787706,45.1412113806936,72.9067764010269,71.2775812417306,59.648641392075,75.6276913379315,150.049668404465,117.882833502191,118.79804532046,95.937610340882,75.0432455902123,72.2711160572265,95.2406121447811,81.6497712833794,97.8714101939585
"cds-C4N14_08125",21101.8458407237,23388.6777047981,25286.7911427391,14720.0810560659,24884.4454393213,26864.3832301558,16179.2566817539,22808.4734296936,27271.7715679586,10500.1374040009,11077.6256543912,13282.6579598403,30952.8344137031,24660.2338179291,21987.4060821795,28413.1004231486,34629.207300248,39814.2935656735
"cds-C4N14_08130",593.313908457462,455.214268237831,450.632430534679,356.302773205365,423.904188121826,357.478387514712,459.344412446708,350.759945577311,358.432649791746,117.768953391635,180.184945068043,182.781556306816,262.136098328006,369.152127297307,329.54393518402,390.381849780257,338.645772699918,328.277021692236
"cds-C4N14_08135",56.1618601257766,85.776571140345,75.8393341290719,69.7114121488758,79.7024513440371,53.5041665523665,64.8663702305697,57.7035769988552,84.1491213478392,32.058089392052,34.1239781190554,40.8617437763328,38.0482493566028,57.9879625015277,50.3427005014014,47.097006005661,40.8248856416897,64.2281129397852
"cds-C4N14_08140",80.6284130518575,99.3412382043995,76.8179061823503,88.4302172629258,85.6977684805355,99.3648807401092,86.3627836209329,75.2091565378337,87.8772469771739,51.2038927789719,72.1256810243671,81.9228131320624,57.8893609842791,67.8421260638788,64.240992050868,67.3312752525376,79.6419900223126,70.6849073623033
"cds-C4N14_08145",46.7088737679726,49.471138704199,45.014314450804,34.8557060744379,46.1992085224286,48.21254568455,41.1071764833261,38.9012878643968,55.3892950644005,9.57290169345996,16.2864441022764,15.1487440341526,19.3742619423192,25.2039183421673,23.1638192491111,30.0025371591618,25.7665261836894,24.8076838338853
"cds-C4N14_08150",48.9331058521618,43.0877659681733,47.950030610639,45.1833226890862,40.5565570998419,49.9764193071555,33.1874452342449,37.6045782689169,44.7375075520158,85.9334896203615,63.0776565231024,56.2098133898822,39.9156480980312,40.5536731219834,49.7249986547584,46.748139294508,50.8637919470232,54.0331743779146
"cds-C4N14_08155",12.7893344840877,7.97921592003209,16.1464388790927,13.5549968067258,8.11131141996838,15.8748626034494,12.0681619033618,15.5605151457587,10.6517875123847,29.3865819427143,29.4707083755478,24.9156974245932,15.1726147741054,17.4342893795443,15.7513970893955,16.04786871304,22.4202240819115,23.1085274069069
"cds-C4N14_08160",120.108532546215,73.8077472602968,108.132211887257,404.713476086529,163.636891255014,252.233928032585,328.857411866609,254.155080714059,288.130852210006,126.228726981205,135.20333754747,117.801417423477,61.6241584671359,56.471937338089,51.5781041946873,106.404346901679,103.400734944935,123.018925313239
"cds-C4N14_08165",25.5786689681755,33.1137460681332,33.760735838103,43.2468945738396,37.3825656746369,55.268040174972,39.2215261859258,29.1759658982976,52.1937588106851,68.1234399581104,56.6147818793419,60.3956505572139,41.7830468394595,30.8890127050621,32.120496025434,33.1423375595392,39.1517345908007,30.584815685612
"cds-C4N14_08170",63.9466724204387,80.5900807923241,87.5821987684121,65.1930798799672,76.5284599188321,74.6706500236324,63.7349800521295,80.3959949197533,105.452696372609,166.523964342048,141.92472717698,128.963649869694,95.937610340882,92.0985286788969,74.4330725204769,77.7972765871289,97.0427609515574,92.4341096276274
"cds-C4N14_08175",4.44846416837834,5.98441194002407,2.93571615983504,3.8728562304931,3.52665713911669,2.93978937100915,3.77130059480056,5.18683838191957,0.532589375619236,31.1675869089394,23.5248637032882,26.5103020597671,9.80384339249889,9.66466041692128,11.1186332395733,8.37280106767307,12.0466875664002,8.15595084949654
"cds-C4N14_08180",19.4620307366553,25.1345301481011,19.571441065567,23.8826134213741,11.9906342729967,14.1109889808439,17.7251127955626,25.9341919095978,15.9776812685771,47.1966316049654,38.0017029053117,42.4563484115068,17.5068632008909,20.4663397064215,25.0169247890399,30.0025371591618,34.132281438134,29.9051531148206
"cds-C4N14_08185",90.0813994096615,61.4399625842471,77.7964782356286,107.794498415391,71.9438056379804,94.0732598722928,94.2825148700141,102.440058042911,87.8772469771739,73.4664548567857,70.3160761241142,74.348441114986,48.7857921198159,38.0901322313956,35.2090052586488,82.6814105432715,83.3229223342683,75.442545357843
"cds-C4N14_08190",82.8526451360467,52.2638642762102,61.6500393565359,76.8116485714465,48.3152028058986,64.6753661622013,72.4089714201708,89.4729620881126,59.6500100693544,199.027304975656,173.205040452781,175.207184289739,117.17927102463,98.9206419143707,93.8906806897301,114.079414547046,115.112792301158,100.590060477124
"cds-C4N14_08195",65.6148464835806,73.4087864642952,84.6464826085771,69.7114121488758,84.9924370527122,76.4345236462379,50.9125580298076,69.3739633581742,84.1491213478392,74.3569573398983,79.8811305968797,81.3248363938721,76.5633483985627,76.5592707536509,71.344563287262,90.0076114774855,88.0077452767572,82.9188336365481
"cds-C4N14_08200",285.257764797261,284.858008345146,249.046587559339,237.53518213691,257.445971155518,309.265841830162,233.820636877635,235.3527915796,357.900060416126,743.346947778205,677.56777765185,782.552224711622,1041.54164803167,768.435254717957,810.733673718887,673.312752525376,673.945243298057,580.431835455837
"cds-C4N14_08205",384.792150564727,332.733303865338,260.30016617204,192.997335486239,319.867802517884,235.183149680732,230.803596401794,276.847498634957,258.305847175329,930.797720473397,931.946523630263,910.917897843126,1520.29600036536,1369.7287351668,1472.60120239682,570.048206024075,620.73903987979,545.429213060081
"cds-C4N14_08210",272.468430313174,252.143223073014,314.12162910235,611.91128441791,344.201736777789,522.694550165427,491.777597561993,422.078973328705,603.423762576594,55.6564051945346,102.630449342917,92.0884176812964,61.3907336244573,46.8072769211678,61.1524828176532,126.987482859708,107.416297467069,160.740197992161
"cds-C4N14_08215",41.704351578547,40.6940011921637,33.760735838103,39.3740383433465,26.4499285433752,45.2727563135409,41.8614366022862,35.0111590779571,30.8901837859157,26.4924488725985,37.2261579480604,31.6927671240825,52.5205896026726,34.1105661773692,43.2391292650073,28.6070703145496,27.1050470244005,32.2839721125905
"cds-C4N14_08220",151.247781724864,145.221729744584,123.300078713072,152.332345066062,144.240276989873,123.471153582384,132.3726508775,138.099571918609,122.495556392424,72.5759523736732,75.744890824873,78.3349527029209,108.542551845523,129.999157764863,110.877481472412,93.1474118778629,61.9065888828901,77.1417017848214
